date,open,high,low,close,volume,y,x0,x1,r1,x2,r2,x3,r3,x4,r4,x5,r5,14-day RSI,MA-2,MA-3,MA-5,EMA-2,EMA-3,EMA-5,14-day MFI
14-May,196.74,217.87,196.05,217.15,12751049755,0,217.15,247.15,-0.066,264.01,0.0798,243.76,0.0383,234.6,-0.1078,261.29,0.0367,41.28,255.58,251.64,250.16,252.54,247.4,250.31,55.99
15-May,217.01,247.45,216.82,247.15,13460006534,0,247.15,264.01,0.0798,243.76,0.0383,234.6,-0.1078,261.29,0.0367,251.86,-0.0132,53.27,253.89,247.46,251.11,244.15,250.04,252.28,63.15
16-May,246.94,275.39,245.8,264.01,18661465873,1,264.01,243.76,0.0383,234.6,-0.1078,261.29,0.0367,251.86,-0.0132,255.22,0.0421,39.56,239.18,246.55,249.35,247.11,248.15,248.38,61.95
17-May,263.85,266.98,227.77,243.76,16037551694,1,243.76,234.6,-0.1078,261.29,0.0367,251.86,-0.0132,255.22,0.0421,244.7,-0.0052,36.02,247.94,249.25,249.53,252.18,251.82,248.36,53.39
18-May,243.91,246.36,233.1,234.6,10933142646,0,234.6,261.29,0.0367,251.86,-0.0132,255.22,0.0421,244.7,-0.0052,245.97,-0.0142,44.94,256.58,256.12,251.81,255.09,252.73,251.82,53.31
19-May,234.45,263.74,233.76,261.29,12049250894,1,261.29,251.86,-0.0132,255.22,0.0421,244.7,-0.0052,245.97,-0.0142,249.48,-0.0091,49.61,253.54,250.59,249.45,250.34,249.27,249.91,52.47
20-May,261.27,261.55,241.8,251.86,10834541285,0,251.86,255.22,0.0421,244.7,-0.0052,245.97,-0.0142,249.48,-0.0091,251.76,-0.059,56.65,249.96,248.63,249.43,247.31,248.42,252.48,59.27
21-May,251.65,262.11,248.2,255.22,11545049593,1,255.22,244.7,-0.0052,245.97,-0.0142,249.48,-0.0091,251.76,-0.059,267.07,-0.0215,48.82,245.33,246.72,251.8,247.12,248.2,254.88,52.17
22-May,255,258.8,242.73,244.7,9818257463,0,244.7,245.97,-0.0142,249.48,-0.0091,251.76,-0.059,267.07,-0.0215,272.86,0.004,48.26,247.73,249.07,257.43,249.69,254.08,259.26,46.07
23-May,244.67,247.62,233.79,245.97,10671663487,0,245.97,249.48,-0.0091,251.76,-0.059,267.07,-0.0215,272.86,0.004,271.77,0.0085,49.27,250.62,256.1,262.59,257.43,261.01,263.16,46.77
